ICM, Ice Cream,VEGETARIAN,SWEET,BOWL,SCOOP,200,10
HND,Honey Nut Delight ,VEGETARIAN,SWEET,BOWL,SCOOP,320,10
FJ,Fresh Juice,BEVERAGES,Cold,GLASS,PORTION,200,10
MSK,Milkshakes,BEVERAGES,Cold,GLASS,PORTION,200,10
LAS,Lassi ,BEVERAGES,Cold,GLASS,PORTION,200,10
CDC,Cold Drink Can,BEVERAGES,Cold,GLASS,PORTION,120,10
MCH,Masala Chai ,BEVERAGES,Hot,CUP,PORTION,150,10
MCO,Milk Coffee,BEVERAGES,Hot,CUP,PORTION,250,10
PTE,Plain Tea ,BEVERAGES,Hot,CUP,PORTION,120,10
OP,OPEN FOOD,OPEN,OPEN,,,,10
OB,OPEN BEVERAGE,OPEN,OPEN,,,,10
BB,BREAKFAST,BUFFET,BUFFET,,,500,10
LB,LUNCH,BUFFET,BUFFET,,,850,10
DB,DINNER,BUFFET,BUFFET,,,900,10
