MENU056,EGG FRIED RICE,MAIN COURSE,INDO-CHINESE,BOWL,BOWL,275,10
MENU057,VEG. FRIED RICE,MAIN COURSE,INDO-CHINESE,BOWL,BOWL,250,10
MENU058,"DAL KHICHARI, DALIYA WITH MILK",MAIN COURSE,INDIAN,PORTION,PORTION,250,10
MENU059,TOMATO SOUP,SOUPS,VEG SOUP,BOWL,BOWL,175,10
MENU060,VEG SOUP,SOUPS,VEG SOUP,BOWL,BOWL,150,10
MENU061,VEG HOT & SOUR SOUP,SOUPS,INDO-CHINESE,BOWL,BOWL,180,10
MENU062,VEG. MUSHROOM SOUP,SOUPS,VEG SOUP,BOWL,BOWL,200,10
MENU063,CHICKEN SOUP,SOUPS,NON-VEG SOUP,BOWL,BOWL,225,10
MENU064,CHICKEN NOODLE SOUP,SOUPS,NON-VEG SOUP,BOWL,BOWL,250,10
MENU065,VEG NOODLE SOUP,SOUPS,INDO-CHINESE,BOWL,BOWL,200,10
MENU066,CHICKEN HOT& SOUR SOUP,SOUPS,INDO-CHINESE,BOWL,BOWL,250,10
MENU067,"GREEN SALAD, MIX SALAD, ONION SALAD",SALADS,FRESH SALAD,PLATE,PLATE,175,10
MENU068,"Veg Thali(DAL FRY, MIX VEG, BOONDI RAITA, JEERA RICE, PAPAD,
FOUR TAWA ROTI AND SALADS)",MAIN COURSE,VEG THALI,PLATE,PLATE,450,10
MENU069,"Non Veg Thali(DAL FRY, MIX VEG, CHICKEN CURRY BOONDI RAITA, JEERA RICE, PAPAD, FOUR TAWA ROTI AND SALADS)",MAIN COURSE,NON-VEG THALI,PLATE,PLATE,500,10
MENU070,DAL FRY / TADKA,DAL,Main Course,PORTION,PORTION,275,10
MENU071,DAL MAKHANI,DAL,Main Course,PORTION,PORTION,325,10
MENU072,MALAI KOFTA,VEG CURRY,Main Course,PORTION,PORTION,320,10
MENU073,JEERA ALOO,VEG CURRY,Main Course,PORTION,PORTION,200,10
MENU074,ALOO MUTTER,VEG CURRY,Main Course,PORTION,PORTION,250,10
MENU075,ALOO GOBHI,VEG CURRY,Main Course,PORTION,PORTION,250,10
MENU076,DUM ALOO,VEG CURRY,Main Course,PORTION,PORTION,250,10
MENU077,MIX VEG,VEG CURRY,Main Course,PORTION,PORTION,250,10
MENU078,MUSHROOM MASALA,VEG CURRY,Main Course,PORTION,PORTION,325,10
MENU079,MUTTER MUSHROOM,VEG CURRY,Main Course,PORTION,PORTION,325,10
MENU080,PANEER BUTTER MASALA,PANEER,Main Course,PORTION,PORTION,325,10
MENU081,PANEER LABABDAR,PANEER,Main Course,PORTION,PORTION,300,10
