APP63,Duvet Cover Double,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,12
APP64,Duvet Cover Single,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,6
APP65,Pillow Large,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,30
APP66,Pillow Small,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,36
APP67,Face Towel,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,75
APP68,Hand Towel,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,50
APP69,Bath Mate,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,100
APP70,Tiger Table Cloth,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,15
APP71,Ruges,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,70
APP72,Bade Cover,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,15
APP73,Cushion,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,170
APP74,Room K1 -,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,1
APP75,Room K4 & K2,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,2
APP76,Room K3,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,1
APP77,Tala & Magdhi Block,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,8
APP78,Long Room,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,6
APP79,Raja Room & Rded Room,House Keeping       ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,2
APP80,Mam Room,House Keeping  ,House Keeping       ,Pcs,Pcs,,,,,,,,,,,,,1
APP81,Screw Driver,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,2
APP82,Plas Penchis,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,2
APP83,Wire Cutter,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,2
APP84,Hammer,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,2
APP85,Chheni Summi,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP86,Ari Blade With Frem,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP87,Adjusting Pana,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,2
APP88,Patti Pana,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,5
APP89,Grinder,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP90,Tils Cutter,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP91,Hember Machine,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP92,Wilding Machine,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP93,Iron Cutter Machine,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP94,Putti Mixing Machine,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP95,Inchi Tape,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,2
APP96,Dril Machine,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP97,Tester,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,2
APP98,Big Hammer Machine,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP99,Agri Culture Machine,Mantinance       ,Mantinance       ,Pcs,Pcs,,,,,,,,,,,,,1
APP100,Kadhai,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,8
APP101,Patiala,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,8
APP102,Steel Patil,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,2
APP103,Soup Stainer,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP104,Grater,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP105,Jug,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,2
APP106,Jhara,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,2
APP107,Steel Bowel,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,15
APP108,Souce Pan,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,4
APP109,Coocker,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,3
APP110,Frieng Pan,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,3
APP111,Chaineese Kadhai,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP112,Pranti,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,3
APP113,Choping Board,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,3
APP114,Choping Board Wood,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP115,Tray Steel,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,4
APP116,Tray Plastic,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,2
APP117,Laddle big,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,4
APP118,Laddle Small,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,4
APP119,Palta,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,6
APP120,Jhara Small,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,2
APP121,Ice Cream Squzer,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP122,Omelet Slicer,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP123,Rice Stainer,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,4
APP124,Dosa Palta,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP125,Knife,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,3
APP126,Chapad,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP127,Piller,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,3
APP128,Tin Cutter,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP129,Potato Mass,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP130,Roti Chimta,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,2
APP131,Beater,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,2
APP132,Steal Fridge,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,2
APP133,Sandwitch Grilder,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP134,Mixer,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP135,Tea Ketli,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,1
APP136,Spoon Stand,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,2
APP137,Food Pan,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,6
APP138,Gas Rang,Kitchen Equipment       ,Kitchen Equipment       ,Set,Set,,,,,,,,,,,,,2
APP139,Dosa Range Ele. With Gas,Kitchen Equipment       ,Kitchen Equipment       ,Set,Set,,,,,,,,,,,,,1
APP140,Steel Body Fridge,Kitchen Equipment       ,Kitchen Equipment       ,Pcs,Pcs,,,,,,,,,,,,,2
APP141,Snackes Platter Hot,Kitchen Equipment       ,Kitchen Equipment       ,Set,Set,,,,,,,,,,,,,1
APP142,Safari Steel Cup,Safari Equipment       ,Safari Equipment       ,Pcs,Pcs,,,,,,,,,,,,,30
APP143,Safari Tifin,Safari Equipment       ,Safari Equipment       ,Pcs,Pcs,,,,,,,,,,,,,4
APP144,Safari Blanket,Safari Equipment       ,Safari Equipment       ,Pcs,Pcs,,,,,,,,,,,,,20
APP145,Tea Coffee Bag,Safari Equipment       ,Safari Equipment       ,Pcs,Pcs,,,,,,,,,,,,,0
APP146,Ice Box,Safari Equipment       ,Safari Equipment       ,Pcs,Pcs,,,,,,,,,,,,,0
APP147,Safari Bottel Water,Safari Equipment       ,Safari Equipment       ,Pcs,Pcs,,,,,,,,,,,,,0
APP148,Driver Blanket,Safari Equipment       ,Safari Equipment       ,Pcs,Pcs,,,,,,,,,,,,,9
APP149,Kulhadi,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,3
APP150,Gainti,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,3
APP151,Favda,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,6
APP152,Khurpi,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,2
APP153,Tasla,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,6
APP154,Sabbal,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,1
APP155,Dhurmuch,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,1
APP156,Ghan,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,1
APP157,Panja,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,2
APP158,Has Cutter,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,1
APP159,Cutter Big,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,1
APP160,Aari,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,1
APP161,Belcha,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,1
APP162,Sidhi Iron,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,3
APP163,Hasiya,Garden Equipments      ,Garden Equipments      ,Pcs,Pcs,,,,,,,,,,,,,2
