KM16,ANARDANA (POMEGRANATE DRY ),Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,1.000,1.000,,,,
KM17,SAUNTH /GINGER DRY ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.100,0.250,,,,
KM18,KALAUNJI /BLACK CUMIN ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.100,0.250,,,,
KM19,JAIPHAL /NUTMEG ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.100,0.200,,,,
KM20,AMCHOOR  /DRY MANGO ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.250,1.000,,,,
KM21,SABJA /BASIL SEED ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.100,0.200,,,,
KM22,TEJ PATTA/ BAY LEAF ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.100,0.250,,,,
KM23,SAUNTH (dry Ginger),Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.100,,,,,
KM24,CHAKRI PHOOL /Star Aniseed,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.250,0.500,,,,
KM25,Javitri ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.250,0.500,,,,
KM26,HING /ASAFITIDA,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.200,0.250,,,,
KM27,KALA NAMAK/BLACK SALT,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.200,0.500,,,,
KM28,CHAT MASALA ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.500,0.500,,,,
KM29,SENDHA NAMAK,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.200,0.250,,,,
KM30,SAUNF Moti/FENNEL SEED,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.500,0.500,,,,
KM31,SAUNF  BARIK /FENNEL SEED ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.200,0.250,,,,
KM32,SARSOON DANA/MUSTARD SEED,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.200,0.250,,,,
