630,NEGIMA (3 STICKS SET) (T ),320,340,276,276,305.09,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
631,NEGIMA (3 STICKS SET) (S ),320,340,276,276,305.09,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
632,MOMO  (3 STICKS SET) (T ),320,340,276,276,288.14,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
633,MOMO  (3 STICKS SET) (S ),320,340,276,276,288.14,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
634,TSUKUNE  (3 STICKS SET) (T ),320,340,276,276,322.03,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
635,TSUKUNE  (3 STICKS SET) (S )),320,340,276,276,322.03,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
636,CHOINOMI SET (WITHOUT DRINK & SOUP),320,340,276,276,635.59,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
637,CHEESE CAKE,320,340,276,276,237.29,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
638,TEPPAN GYOZA (NON VEG) -  ( H ),320,340,276,276,254.24,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
639,TEPPAN GYOZA (NON VEG) - ( R ),320,340,276,276,406.78,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
701,New York Caesar salad ( R ),320,339,276,276,398.31,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
703,Tofu Wafu Salad ( R ),320,339,276,276,398.31,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
704,Tofu Wafu Salad ( H ),320,339,276,276,220.34,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
708,Pari Pari Piman Green,320,339,276,276,322.03,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
709,Sunagimo Negidarage,320,339,276,276,220.34,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
711,Satsuma Age,320,339,276,276,364.41,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
712,Grilled sausage,320,339,276,276,593.22,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
713,Gyoza ( Non-Veg) ( R ),320,339,276,276,389.83,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
714,Gyoza (Veg ) (R),320,339,276,276,389.83,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
715,Gyoza ( Non-Veg) ( H ),320,339,276,276,245.76,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
716,Gyoza (Veg ) ( H ),320,339,276,276,245.76,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
718,Tabasaki Karage,320,339,276,276,364.41,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
719,Takono karage,320,339,276,276,364.41,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
720,Fried Potato,320,339,276,276,237.29,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
721,Torino karage,320,339,276,276,364.41,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
722,Curry potato,320,339,276,276,262.71,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
725,Yaki onigiri (soyu),320,339,276,276,135.59,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
726,Yaki onigiri (cheese),320,339,276,276,161.02,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
727,Yaki onigiri (miso),320,339,276,276,161.02,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
728,Crunchy Ebi roll,320,339,276,276,737.29,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
729,Taj Mahal roll,320,339,276,276,652.54,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
730,Route roll 66,320,339,276,276,813.56,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
731,Dynamite roll,320,339,276,276,728.81,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
732,Kuuraku california roll,320,339,276,276,728.81,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
733,Negima (3 sticks set) (Tare ),320,339,276,276,296.61,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
734,Negima (3 sticks set) (Shio ),320,339,276,276,296.61,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
735,Momo  (3 sticks set) (Tare ),320,339,276,276,279.66,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
736,Momo  (3 sticks set) (Shio ),320,339,276,276,279.66,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
737,Tsukune  (3 sticks set) (Tare ),320,339,276,276,279.66,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
738,Tsukune  (3 sticks set) (Shio ),320,339,276,276,279.66,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
739,Choinomi set ,320,339,276,276,610.17,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
894,Topping Soba,320,338,276,276,100,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,D,Menu,0,0,0,0,KUURAKU,YES
93,TOPPING,320,338,276,276,100,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
995,TOPING 50,320,338,276,276,50,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
225,BANYA KAUDA,321,353,276,276,330,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
235,EBISEN,321,341,276,276,280,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
336,BANYA KAUDA SAUCE,321,353,276,276,70,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
37,KARAMISO CABBAGE,321,353,276,276,225,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
38,UMASHIO CABBAGE,321,353,276,276,225,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
39,HIYAYAKKO,321,362,276,276,350,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
40,UMASHIO DOFU,321,362,276,276,390,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
434,NY CAESAR SALAD - FULL,321,353,276,276,395,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
434-1,NY CAESAR SALAD - HALF,321,353,276,276,225,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
435,EDAMAME,321,353,276,276,395,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
437,SUNAGIMO NEGIDARAKE,321,353,276,276,215,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
439,NASU DENGAKU,321,353,276,276,330,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
44,TOFU WAFU SALAD - FULL,321,362,276,276,395,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
