HK014,Steel Juna,437,493,502,502,,,,,,,,,,,,,,,,,,,,,,1,504
ST345,Sticker,484,497,502,502,,,,,,,,,,,,,,,,,,,,,,1,504
GR054,Sugar,483,494,90,91,,,,,,,,,,,,,,,,,,,,,,1,504
GR055,Sugar (B/fast Sugar),483,494,90,91,,,,,,,,,,,,,,,,,,,,,,1000,504
GR056,Sugar Sachet (Brown),483,494,372,372,,,,,,,,,,,,,,,,,,,,,,1,504
GR057,Sugar Sachet (White),483,494,502,502,,,,,,,,,,,,,,,,,,,,,,1,504
GR082,Sushi Vinegar,483,494,448,448,,,,,,,,,,,,,,,,,,,,,,1,504
GR058,Sweet chilly sauce,483,494,110,110,,,,,,,,,,,,,,,,,,,,,,1,504
VG035,Sweet Corn kernal,483,499,450,450,,,,,,,,,,,,,,,,,,,,,,1,504
VG036,Sweet Potato,483,499,90,91,,,,,,,,,,,,,,,,,,,,,,1000,504
DISP10,Tablet Tissue,484,497,502,502,,,,,,,,,,,,,,,,,,,,,,1,504
GR678,Tanifuji Rice,436,352,90,91,,,,,,,,,,,,,,,,,,,,,,1,504
DS024,Thread,483,490,372,372,,,,,,,,,,,,,,,,,,,,,,1,504
DS061,Tissue Roll,483,490,502,502,,,,,,,,,,,,,,,,,,,,,,1,504
GR059,Tobanjan1KG,483,494,90,91,,,,,,,,,,,,,,,,,,,,,,1000,504
DI007,Tofu,483,488,372,372,,,,,,,,,,,,,,,,,,,,,,1,504
DS057,Toilet Brush,483,490,502,502,,,,,,,,,,,,,,,,,,,,,,1,504
VG037,Tomato,483,499,90,91,,,,,,,,,,,,,,,,,,,,,,1000,504
GR060,Tomato Puree,483,494,450,450,,,,,,,,,,,,,,,,,,,,,,1,504
DS046,Tooth Pick,483,490,372,372,,,,,,,,,,,,,,,,,,,,,,1,504
GR061,Tops Tomato Ketchup (HDPE) 1.2 kg,483,494,110,110,,,,,,,,,,,,,,,,,,,,,,1,504
GR062,Tops Vinegar White(HDPE) 1ltr,483,494,448,369,,,,,,,,,,,,,,,,,,,,,,1000,504
FIS06,Tuna,483,491,90,91,,,,,,,,,,,,,,,,,,,,,,1000,504
GR063,Tuna Can,483,494,500,500,,,,,,,,,,,,,,,,,,,,,,1,504
GR064,Udon,483,494,372,372,,,,,,,,,,,,,,,,,,,,,,1,504
GR065,UDON NOODLE,483,494,276,276,,,,,,,,,,,,,,,,,,,,,,1,504
GR066,Umeboshi Plum Pickel 1kg,483,494,502,502,,,,,,,,,,,,,,,,,,,,,,1,504
DS064,Urinal Cube,483,490,502,502,,,,,,,,,,,,,,,,,,,,,,1,504
