CS,CHICKEN SANDWICH,CONTINENTAL,CONTINENTAL,Plate, pcs,455,10,4
PWHC,POTATO WEDGES WITH HERB CURD,CONTINENTAL,CONTINENTAL,Plate, pcs,225,10,15
HCP,HONEY CHILLY POTATOES,CONTINENTAL,CONTINENTAL,Plate, pcs,255,10,12
GB,GARLIC BREAD,CONTINENTAL,CONTINENTAL,Plate, pcs,195,10,3
PCH,PAPDI CHAAT,CONTINENTAL,CONTINENTAL,Plate, pcs,195,10,10
SAO,SPAGHETTI AGLIO OLIO,CONTINENTAL,CONTINENTAL,Plate,gram,255,10,150
RSP,RED SAUCE PASTA,CONTINENTAL,CONTINENTAL,Plate,gram,255,10,150
WSP,WHITE SAUCE PASTA,CONTINENTAL,CONTINENTAL,Plate,gram,255,10,150
PDW,PACKED DRINKING WATER,BEVERAGES,BEVERAGES, Bottle, pcs,60,10,1
SFJ,SEASONAL FRUIT JUICE ,BEVERAGES,BEVERAGES, glass, pcs,150,10,1
COTH,CHOICE OF Tea (HALF),BEVERAGES,BEVERAGES, Pot, cup,110,10,1
COTF,CHOICE OF TEA (FULL),BEVERAGES,BEVERAGES, Pot, cups,220,10,1
COCH,CHOICE OF COFFEE (HALF),BEVERAGES,BEVERAGES, Pot, cups,110,10,1
COCF,CHOICE OF COFFEE (FULL),BEVERAGES,BEVERAGES, Pot, cups,220,10,1
CC,COLD COFFEE,BEVERAGES,BEVERAGES, glass, Glass,270,10,1
FLS,FRESH LIME SODA ,BEVERAGES,BEVERAGES, glass, Glass,150,10,1
AB,AERATED BEVERAGES,BEVERAGES,BEVERAGES, glass, Glass,200,10,1
MO,MASALA OMLETTE,EGG TO ORDER,OMLETTE,plate, eggs,200,10,2
TBO,TOMATO AND BASIL OMLETTE,EGG TO ORDER,OMLETTE,plate, eggs,200,10,2
EK,EGG KEJRIWAL,EGG TO ORDER,OMLETTE,plate, eggs,200,10,2
PSE,PLAIN SCRAMBLED EGGS,EGG TO ORDER,SCRAMBLED ,plate, eggs,280,10,2
TSE,TURKISH SCRAMBLED EGGS,EGG TO ORDER,SCRAMBLED ,plate, eggs,280,10,2
GSE,GARLIC SCRAMBLED EGGS (SPICY),EGG TO ORDER,SCRAMBLED ,plate, eggs,280,10,2
CNFT,CHEESY NUTELLA FRENCH TOAST ,EGG TO ORDER,FRENCH TOAST,plate, pcs,200,10,1
SFT,SAVORY FRENCH TOAST,EGG TO ORDER,FRENCH TOAST,plate, pcs,200,10,1
BP,BANANA PANCAKE ,PANCAKES,PANCAKES,plate, pcs,250,10,1
NP,NUTELLA PANCAKE,PANCAKES,PANCAKES,plate, pcs,250,10,1
GP,GOLDEN PANCAKE,PANCAKES,PANCAKES,plate, pcs,250,10,1
B,BACON,SIDES,SIDES,plate, pcs,100,10,2
HB,HASH BROWN ,SIDES,SIDES,plate, pcs,150,10,2
S,SAUSAGES,SIDES,SIDES,plate, pcs,100,10,2
VSB,VEGETABLE SANDWICH,GRILLED SANDWICHES,GRILLED SANDWICHES,plate, pcs,250,10,4
