G1,AATTA GENHU /WHEAT,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1,96
G2,MAIDA ,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G3,GUEST RICE  (IG DUBAR ),591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G4,SUGAR ,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G5,SALT,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G6,BESAN,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G7,SOOJI,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G8,POHA,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G9,AARAROT/CORNFLOUR ,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G10,RAGI (WHOLE),591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G11,BAJRA (WHOLE)/ATTA,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G12,MAKKI (WHOLE)/ATTA,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
G13,JOWAR ( WHOLE)/ATTA,591,706,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P1,URAD MAAH   WHOLE,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P2,MOONG WHOLE /SABAT,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P3,MOONG  SPLIT/ TUTI ,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P4,MOONG  DHULI,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P5,CHANA KABULI ,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P6,CHANA BLACK /KALA ,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P7,CHANAL DAL SPLIT/ TUTI,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P8,ARHAR DAL,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P9,MASOOR DAL ,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P10,URAD  TUTI CHILKA ,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P11,URAD DHULI,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P12,RAJMAH CHITRA,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P13,SOYABEAN,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P14,MIXED DAL,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
P15,LOBIYA ,592,700,669,681,,,,,,,,,,,,17,,,,,,,,,,1000,96
