JV,JACOBS VREEK SHIRAZ CABERNET GLASS OF 150 ML ,780,797,672,672,650,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
SCS,SULA CABERNET SHIRAZ 750 ML ( BOTTLE ) ,780,798,672,672,2400,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
SCS1,SULA CABERNET SHIRAZ 150 ML ( GLASS  ) ,780,798,672,672,650,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
CP1,CHATEAUNEUF-PEPE ( EGUIGAL)750 ML ,780,799,672,672,7500,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
JC7,JACOBSCREEK - CHARDONNEY 750 ML ,781,800,672,672,2400,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
JCG,JACOBSCREEK- CHARDONNEY- GLASS OF 150 ML ,781,800,672,672,650,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
SSBB,SULA SAUVIGNON BLANC BOTTLE OF 750 ML ,781,798,672,672,2230,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
SSBG,SULA SAUVIGNON BLANC GLASS OF 150 ML,781,798,672,672,650,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
SBSW,SULA BRUT SPARKLING WINE ( INDIAN ) 750 ML ,781,801,672,672,2400,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
AB,ANTIOUINTY BLUE 60 ML ,782,802,672,672,420,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
AS,ABLENDER SPRIDE 60ML ,782,802,672,672,420,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
SW,SIGNATURE WHISKY 60 ML ,782,802,672,672,420,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
BPW,BEG - PIPPER WHISKY 60 ML ,782,802,672,672,324,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
RC,ROYAL CHALLANGE 60 ML ,782,802,672,672,360,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
JR1,JALB RARE- 60 ML ,782,803,672,672,480,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
JI,JAMESON IRIES - 60 ML,782,803,672,672,480,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
JWB,J W BLACK LABEL 60 ML ,782,803,672,672,550,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
JWD,J W DOBLE BLEACK LABEL 60 ML,782,803,672,672,660,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
JWRL,J WALKER RED LABEL 60 ML ,782,803,672,672,480,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
CR1,CHIVAS REGAL 60 ML,782,803,672,672,660,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
