M046,Cheese Garlic,823,825,632,632,180,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M047,Cheese Garlic Sandwich,823,825,632,632,200,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M048,CHEESE NAAN,823,825,672,672,100,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M049,Cheese Non,823,825,632,632,100,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M050,Cheese Pakoda,823,825,672,672,190,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M051,Cheese Stuffed Mushroom,823,825,632,632,280,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M052,Cheese Toast,823,825,632,632,180,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M053,CHEESE TOAST - Plain / Chilly / Garlic / Chilly Garlic,823,825,632,632,180,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M054,Chicken -65,823,825,632,632,390,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M055,CHICKEN 65,823,825,632,632,425,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M056,Chicken American Chopsi,823,825,632,632,450,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M057,CHICKEN CAESAR SALAD,823,825,632,632,180,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M058,Chicken Cheese Garlic S/W,823,825,632,632,220,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M059,Chicken Chettinadi,823,825,632,632,450,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M060,CHICKEN CHETTINADU,823,825,632,632,450,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M061,Chicken Dum Biryani,823,825,632,632,550,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M062,Chicken Fried Noodles,823,825,632,632,330,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M063,Chicken Fried Rice,823,825,632,632,330,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M064,Chicken Hongkong Fried Rice,823,825,632,632,330,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M065,Chicken Hongkong Noodles,823,825,632,632,330,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M066,Chicken Hot & Sour Soup,823,825,672,672,210,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M067,Chicken In Hot Garlic Sauce,823,825,632,632,380,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M068,CHICKEN MANCHOW,823,825,632,632,225,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M069,Chicken Manchow Soup,823,825,632,632,210,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M070,Chicken Manchurian,823,825,632,632,390,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M071,CHICKEN MANCHURIAN (WET),823,825,632,632,450,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M072,Chicken Masala,823,825,632,632,450,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M073,Chicken Momoz,823,825,632,632,310,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M074,Chicken Popcorn,823,825,632,632,220,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M075,Chicken Rara Masala,823,825,632,632,450,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M076,CHICKEN SHASHLIK,823,825,632,632,520,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M077,Chicken Sheekh Kabab,823,825,632,632,430,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M078,CHICKEN SOFT NOODLES,823,825,672,672,425,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M079,Chicken Spring Roll,823,825,632,632,380,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M080,CHICKEN SWEET CORN,823,825,632,632,225,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M081,Chicken Sweet Corn Soup,823,825,632,632,210,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M082,Chicken Tikka Pizza,823,825,632,632,600,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M083,Chilli Chicken,823,825,632,632,390,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M084,Chilli Corn,823,825,632,632,250,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M085,Chilli Paneer,823,825,632,632,330,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M086,CHILLY CHICKEN,823,825,632,632,425,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M087,CHILLY LOOSE PRAWNS,823,825,632,632,790,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M088,CHOCOLATE / BUTTERSCOTCH,824,826,672,672,80,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M089,Choice Of Cream Soup,823,825,632,632,160,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M090,Choice Of Ice - Cream,823,825,632,632,100,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M091,Choice Of Shakes,824,826,672,672,150,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
M092,CHOLA BHATURE,823,825,632,632,130,10,2.5,CGST@2.5%,2.5,,,,,,,,,,,,,,,,2
