DIN105,Absolut Vodka 30ml,849,851,636,636,350,111,,,,,,,,,,,,,,,,MENU,,,2
DIN106,Absolut Vodka 60ml,849,851,636,636,600,111,,,,,,,,,,,,,,,,MENU,,,2
DIN107,Absolut Vodka,849,851,628,628,5500,111,,,,,,,,,,,,,,,,MENU,,,2
DIN108,Simrnoff - Plain 30ml,849,851,636,636,200,111,,,,,,,,,,,,,,,,MENU,,,2
DIN109,Simrnoff - Plain 60ml,849,851,636,636,350,111,,,,,,,,,,,,,,,,MENU,,,2
DIN110,Simrnoff - Plain,849,851,628,628,3000,111,,,,,,,,,,,,,,,,MENU,,,2
DIN111,Simrnoff - Green Apple 30ml,849,851,636,636,200,111,,,,,,,,,,,,,,,,MENU,,,2
DIN112,Simrnoff - Green Apple 60ml,849,851,636,636,350,111,,,,,,,,,,,,,,,,MENU,,,2
DIN113,Simrnoff - Green Apple,849,851,628,628,3000,111,,,,,,,,,,,,,,,,MENU,,,2
DIN114,BuleRiband (Gin) 30ml,850,851,636,636,200,111,,,,,,,,,,,,,,,,MENU,,,2
DIN115,BuleRiband (Gin) 60ml,850,851,636,636,350,111,,,,,,,,,,,,,,,,MENU,,,2
DIN116,BuleRiband (Gin),850,851,628,628,2500,111,,,,,,,,,,,,,,,,MENU,,,2
DIN117,KingFisher Premium,850,851,628,628,375,111,,,,,,,,,,,,,,,,MENU,,,2
DIN118,KingFisher Ultra,850,851,628,628,425,111,,,,,,,,,,,,,,,,MENU,,,2
DIN119,Kingfisher Can,850,851,628,628,300,111,,,,,,,,,,,,,,,,MENU,,,2
