Item Code,Item,Item Type,Item Group Main,Item Group,Item Main Unit,Item Alt Unit,Purchase Account Local,Purchase Account Interstate,Store,Conversion Qty,Min Qty,Max Qty,Rol,Roq,Item Class,Open Qty,Open Amount,Last Purchase Rate,Stock Enable Disable,Edit Name Enable Disable,Item Production Item,Item Allowed Additional,Item Disable,Purchase Rate,Batch Details,Item Details,Display Order,Status,Creation Date,Modified Date,Created By,Modified By
49,Sesame Oil,Ingredients,Dairy,Dairy,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
50,High Gulotin Folu,Ingredients,Dairy,Dairy,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
51,Sweet Soda,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
52,Rajma,Ingredients,Dairy,Dairy,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
53,Japanese Rice,Ingredients,Dairy,Dairy,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
54,Refind Oil,Ingredients,Dairy,Dairy,Tin,Tin,,,,1,,,,,,,,,,,,,,,,,,,,,,
55,Salt,Ingredients,Dairy,Dairy,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
56,Sweet Chilli Sauce,Ingredients,Dairy,Dairy,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
57,Honey,Ingredients,Dairy,Dairy,ltr,ltr,,,,1,,,,,,,,,,,,,,,,,,,,,,
58,Tomato Ketchup,Ingredients,Dairy,Dairy,ltr,ltr,,,,1,,,,,,,,,,,,,,,,,,,,,,
59,Japsanese Sake,Ingredients,Dairy,Dairy,ltr,ltr,,,,1,,,,,,,,,,,,,,,,,,,,,,
60,Maida,Ingredients,Dairy,Dairy,kg,kg,,,,1,,,,,,,,,,,,,,,,,,,,,,
61,Corn Flour,Ingredients,Dairy,Dairy,kg,kg,,,,1,,,,,,,,,,,,,,,,,,,,,,
62,Safed Till,Ingredients,Dairy,Packaging,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
63,Breakfast Sugar,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
64,Japanese Mirin,Ingredients,Dairy,Dairy,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
65,Maggi Cube Non Veg,Ingredients,Dairy,Dairy,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
66,Himalayan Salt,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
67,Brown Sugar,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
68,Miso Paste Light,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
69,Hondasi Powder,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
70,Gouchujang,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
71,Dark Chocolate,Ingredients,Dairy,Dairy,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
72,Vinegar,Ingredients,Dairy,Dairy,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
73,MDH Black Paper Powder 100gm,Ingredients,Dairy,Dairy,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
74,Kikkoman S Sauce,Ingredients,Dairy,Dairy,case,case,,,,1,,,,,,,,,,,,,,,,,,,,,,
